identifier,short,question,qPosition,gseCode,gseType,checkRelated,
controlesInternos,Controles internos,"¿Están los controles internos en buenas condiciones, p. ¿Interruptores, instrumentos, palancas, etc.?",20,"PST,EM,PSM",STEPS - PASSENGER,Escalera Motorizada,
fugasDerramesFod,"Fugas, derrames y FOD","¿El equipo se encuentra libre de fugas, derrames visibles, FOD y se asegura que NO existan objetos sospechosos y/o prohibidos ocultos en el interior y exterior del equipo (guanteras(si aplica),salpicaderas, cabina, debajo de asientos, motor etc.)?",21,"PST,EM,PSM",STEPS - PASSENGER,Escalera Motorizada,
estadoGeneral,Estado general,"¿Está bien el estado general, es decir, sin daños?",1,"PST,EM,PSM",STEPS - PASSENGER TOWABLE,Escalera Remolcable,
advertenciasSeguridad,Advertencias de seguridad,¿Están todas las advertencias de seguridad presentes y legibles?,2,"EHQ,PSP,EH,ADA,PSM",STEPS - PASSENGER TOWABLE,Escalera Remolcable,
calcomanias,Calcomanías,¿Las calcomanías especificadas actualmente están en buenas condiciones?,3,"EHQ,PSP,EH,ADA,PSM",STEPS - PASSENGER TOWABLE,Escalera Remolcable,
luces,Luces,¿Las luces están en buenas condiciones y funcionan?,4,"EHQ,PSP,EH,ADA,PSM",STEPS - PASSENGER TOWABLE,Escalera Remolcable,
estabilizadores,Estabilizadores,¿Están los cuatro estabilizadores funcionando y sin daños?,5,"EHQ,PSP,EH,ADA,PSM",STEPS - PASSENGER TOWABLE,Escalera Remolcable,
pasamanos,Pasamanos,¿Están los pasamanos libres de daños?,6,"EHQ,PSP,EH,ADA,PSM",STEPS - PASSENGER TOWABLE,Escalera Remolcable,
panelesLaterales,Paneles laterales,¿Están los paneles laterales superiores deslizantes libres de daños y funcionando?,7,"EHQ,PSP,EH,ADA,PSM",STEPS - PASSENGER TOWABLE,Escalera Remolcable,
correaTrasera,Correa colocada,¿Hay una correa colocada en la parte trasera de las escaleras para controlar el acceso?,8,"EHQ,PSP,EH,ADA,PSM",STEPS - PASSENGER TOWABLE,Escalera Remolcable,
neumaticos,Neumáticos,"¿Están los neumáticos en buenas condiciones, por ejemplo, dibujo, paredes laterales, etc.?",9,"EHQ,PSP,EH,ADA,PSM",STEPS - PASSENGER TOWABLE,Escalera Remolcable,
tapasCojinetes,Tapas de cojinetes,¿Están las tapas de los cojinetes de las ruedas en su lugar y presentes?,10,"EHQ,PSP,EH,ADA,PSM",STEPS - PASSENGER TOWABLE,Escalera Remolcable,
topesGoma,Topes de goma,¿Están en buenas condiciones los topes de goma de protección de la aeronave en barandales y plataforma?,11,"EHQ,PSP,EH,ADA,PSM",STEPS - PASSENGER TOWABLE,Escalera Remolcable,
barraTiro,Barra de tiro,¿Está la barra de tiro en buenas condiciones y sin signos visibles de daño (grietas/dobladuras/ojillo deformado)?,12,"EHQ,PSP,EH,ADA,PSM",STEPS - PASSENGER TOWABLE,Escalera Remolcable,
trinquete,Trinquete,Cuenta con trinquete (ganchos) accionados por resorte que se bloquean en el sistema de altura de la escalera?,13,"EHQ,PSP,EH,ADA,PSM",STEPS - PASSENGER TOWABLE,Escalera Remolcable,
fugasDerramesFod,"Fugas, derrames y FOD","¿El equipo se encuentra libre de fugas, derrames visibles, FOD y se asegura que NO existan objetos sospechosos y/o prohibidos ocultos en el interior y exterior del equipo (guanteras(si aplica),salpicaderas, cabina, debajo de asientos, motor etc.)?",14,"EHQ,PSP,EH,ADA,PSM",STEPS - PASSENGER TOWABLE,Escalera Remolcable,
estadoGeneral,Estado general,"¿Está bien el estado general, es decir, sin daños?",1,"GPU,PE",CART - GPU,GPU,
advertenciasSeguridad,Advertencias de seguridad,¿Están todas las advertencias de seguridad presentes y legibles?,2,"GPU,PE",CART - GPU,GPU,
calcomanias,Calcomanías,¿Las calcomanías especificadas actualmente están en buenas condiciones?,3,"GPU,PE",CART - GPU,GPU,
bumpersTecho,Bumpers techo,¿Hay protección de caucho (bumpers) para aviones en las esquinas del techo?,4,"GPU,PE",CART - GPU,GPU,
parosEmergencia,Paros de emergencia,¿Los paros de emergencia están en buenas condiciones y funcionando?,5,"GPU,PE",CART - GPU,GPU,
frenoMano,Freno de mano,¿Está funcionando el freno de mano/estacionamiento adecuadamente?,6,"GPU,PE",CART - GPU,GPU,
brazoEngancheRemolque,Brazo y enganche de remolque,¿Están el brazo de remolque y el enganche de remolque en buenas condiciones y sin daños?,7,"GPU,PE",CART - GPU,GPU,
neumaticos,Neumáticos,"¿Están los neumáticos en buenas condiciones, por ejemplo, dibujo, paredes laterales, inflado, etc.?",8,"GPU,PE",CART - GPU,GPU,
conexionesMangueraCabezal,Cables y conexiones de cabezal,¿Están los cables y las conexiones del cabezal en buenas condiciones?,9,"GPU,PE",CART - GPU,GPU,
bloqueoMagneticoCable,Bloqueo magnético o de cable de seguridad,¿Está funcionando el sistema de bloqueo magnético o de cable de seguridad?,10,"GPU,PE",CART - GPU,GPU,
calcetin,Calcetín,¿Hay un calcetin instalado sobre el brazo de remolque para advertir que se desconecten los cables antes de partir?,11,"GPU,PE",CART - GPU,GPU,
extintor,Extintor,"¿Hay un extintor, está dentro de la fecha de caducidad, está lleno y todos los sellos están en su lugar?",12,"GPU,PE",CART - GPU,GPU,
calzosGoma,Calzos de goma,¿Están los calzos en su lugar y son de goma?,13,"GPU,PE",CART - GPU,GPU,
fugasDerramesFod,"Fugas, derrames y FOD","¿El equipo se encuentra libre de fugas, derrames visibles, FOD y se asegura que NO existan objetos sospechosos y/o prohibidos ocultos en el interior y exterior del equipo (guanteras(si aplica),salpicaderas, cabina, debajo de asientos, motor etc.)?",14,"GPU,PE",CART - GPU,GPU,
estadoGeneral,Estado general,"¿Está bien el estado general, es decir, sin daños?",1,"RE,LDL,MDL,A01,LD",LOADER - XXX,Loader LDL/MDL,
advertenciasSeguridad,Advertencias de seguridad,¿Están todas las advertencias de seguridad presentes y legibles?,2,"RE,LDL,MDL,A01,LD",LOADER - XXX,Loader LDL/MDL,
calcomanias,Calcomanías,¿Las calcomanías especificadas actualmente están en buenas condiciones?,3,"RE,LDL,MDL,A01,LD",LOADER - XXX,Loader LDL/MDL,
cinturonConductor,Cinturón de seguridad,¿El cinturón de seguridad del conductor está instalado y funcionando?,4,"RE,LDL,MDL,A01,LD",LOADER - XXX,Loader LDL/MDL,
parosEmergencia,Paros de emergencia,¿Los paros de emergencia están en buenas condiciones y funcionando?,5,"RE,LDL,MDL,A01,LD",LOADER - XXX,Loader LDL/MDL,
impermeabilizacion,Impermeabilización,"¿Está la impermeabilización de los interruptores y controles del tablero en buenas condiciones, sin daños visibles y funcionando correctamente?",6,"RE,LDL,MDL,A01,LD",LOADER - XXX,Loader LDL/MDL,
luces,Luces,¿Las luces están en buenas condiciones y funcionan [incluidas las luces de freno]?,7,"RE,LDL,MDL,A01,LD",LOADER - XXX,Loader LDL/MDL,
lucesAlarmaReversa,Luces y alarma de reversa,¿Funciona la luz y alarma de reversa?,8,"RE,LDL,MDL,A01,LD",LOADER - XXX,Loader LDL/MDL,
bocina,Bocina (pito),¿Funciona la bocina(pito)?,9,"RE,LDL,MDL,A01,LD",LOADER - XXX,Loader LDL/MDL,
topesGoma,Topes de goma,¿Están en buenas condiciones los topes de goma de protección de la aeronave?,10,"RE,LDL,MDL,A01,LD",LOADER - XXX,Loader LDL/MDL,
sistemaAproximacion,Sistema de aproximación,¿Existe un sistema de aproximación de aeronaves instalado [aplicable desde 2017] y en funcionamiento?,11,"RE,LDL,MDL,A01,LD",LOADER - XXX,Loader LDL/MDL,
alarmaPlataformaTorreta,Alarma de plataforma y torreta,"¿Está activada la alarma de la plataforma trasera o el aviso visible, p. ¿Funciona la torreta?",12,"RE,LDL,MDL,A01,LD",LOADER - XXX,Loader LDL/MDL,
frenos,Frenos,¿Están funcionando los frenos (incluido el freno de pedal/estacionamiento)?,13,"RE,LDL,MDL,A01,LD",LOADER - XXX,Loader LDL/MDL,
direccion,Dirección,¿Está funcionando correctamente la dirección?,14,"RE,LDL,MDL,A01,LD",LOADER - XXX,Loader LDL/MDL,
neumaticos,Neumáticos,"¿Están los neumáticos en buenas condiciones, por ejemplo, dibujo, paredes laterales, inflado, etc.?",15,"RE,LDL,MDL,A01,LD",LOADER - XXX,Loader LDL/MDL,
controlesInternos,Controles internos,"¿Están los controles internos en buenas condiciones, p. ¿Interruptores, instrumentos, palancas, etc.?",16,"RE,LDL,MDL,A01,LD",LOADER - XXX,Loader LDL/MDL,
extintor,Extintor,"¿Hay un extintor, está dentro de la fecha de caducidad, está lleno y todos los sellos están en su lugar?",17,"RE,LDL,MDL,A01,LD",LOADER - XXX,Loader LDL/MDL,
fugasDerramesFod,"Fugas, derrames y FOD","¿El equipo se encuentra libre de fugas, derrames visibles, FOD y se asegura que NO existan objetos sospechosos y/o prohibidos ocultos en el interior y exterior del equipo (guanteras(si aplica),salpicaderas, cabina, debajo de asientos, motor etc.)?",18,"RE,LDL,MDL,A01,LD",LOADER - XXX,Loader LDL/MDL,
estadoGeneral,Estado general,"¿Está bien el estado general, es decir, sin daños?",1,"MC,FLT",FORKLIFT,Montacargas,
advertenciasSeguridad,Advertencias de seguridad,¿Están todas las advertencias de seguridad presentes y legibles?,2,"MC,FLT",FORKLIFT,Montacargas,
calcomanias,Calcomanías,¿Las calcomanías especificadas actualmente están en buenas condiciones?,3,"MC,FLT",FORKLIFT,Montacargas,
cinturonConductor,Cinturones de seguridad,¿Están colocados y funcionando los cinturones de seguridad?,4,"MC,FLT",FORKLIFT,Montacargas,
torreta,Torreta,¿Funciona correctamente la torreta?,5,"MC,FLT",FORKLIFT,Montacargas,
luces,Luces,¿Las luces están en buenas condiciones y funcionan [incluidas las luces de freno]?,6,"MC,FLT",FORKLIFT,Montacargas,
lucesAlarmaReversa,Luces y alarma de reversa,¿Funciona la luz y alarma de reversa?,7,"MC,FLT",FORKLIFT,Montacargas,
bocina,Bocina (pito),¿Funciona la bocina(pito)?,8,"MC,FLT",FORKLIFT,Montacargas,
controlesInternos,Controles internos,"¿Están los controles internos en buenas condiciones, p. ¿Interruptores, instrumentos, etc.?",9,"MC,FLT",FORKLIFT,Montacargas,
direccion,Dirección,¿Está funcionando correctamente la dirección?,10,"MC,FLT",FORKLIFT,Montacargas,
frenos,Frenos,¿Están funcionando los frenos (incluido el freno de pedal/estacionamiento)?,11,"MC,FLT",FORKLIFT,Montacargas,
extintor,Extintor,"¿Hay un extintor, está dentro de la fecha de caducidad, está lleno y todos los sellos están en su lugar?",12,"MC,FLT",FORKLIFT,Montacargas,
neumaticos,Neumáticos,"¿Están los neumáticos en buenas condiciones, por ejemplo, dibujo, paredes laterales, inflado, etc.?",13,"MC,FLT",FORKLIFT,Montacargas,
funcionesHidraulicas,Funciones hidráulicas,¿Realiza todas las funciones hidrualicas sin ruidos extraños?,14,"MC,FLT",FORKLIFT,Montacargas,
fugasDerramesFod,"Fugas, derrames y FOD","¿El equipo se encuentra libre de fugas, derrames visibles, FOD y se asegura que NO existan objetos sospechosos y/o prohibidos ocultos en el interior y exterior del equipo (guanteras(si aplica),salpicaderas, cabina, debajo de asientos, motor etc.)?",15,"MC,FLT",FORKLIFT,Montacargas,
estadoGeneral,Estado general,"¿Está bien el estado general, es decir, sin daños?",1,TS,TAIL STAND,Poste de Cola,
advertenciasSeguridad,Advertencias de seguridad,¿Están todas las advertencias de seguridad presentes y legibles?,2,TS,TAIL STAND,Poste de Cola,
calcomanias,Calcomanías,¿Las calcomanías especificadas actualmente están en buenas condiciones?,3,TS,TAIL STAND,Poste de Cola,
tipoAvion,Tipo de avión en barra,¿Se muestra claramente el tipo de avión correcto en el poste de cola?,4,TS,TAIL STAND,Poste de Cola,
topesDescanso,Topes de descanso,¿El soporte de la barra de remolque (topes de descanso) está libre de daños y en buenas condiciones?,5,TS,TAIL STAND,Poste de Cola,
actuadorGas,Actuador de gas,Verifique el funcionamiento del actuador de gas comprimiendo el tubo deslizante hasta el area roja y asegurese que regrese a la zona verde.,6,TS,TAIL STAND,Poste de Cola,
agarraderas,Agarraderas,Revisa que las agarraderas estén en buenas condiciones sin movimiento anormal.,7,TS,TAIL STAND,Poste de Cola,
soporteNivelacion,Soporte de nivelación,Verifique si el soporte de nivelacion esta presente y funcionando.,8,TS,TAIL STAND,Poste de Cola,
movimientoRuedas,Movimiento de ruedas,Verifique el libre movimiento de las ruedas.,9,TS,TAIL STAND,Poste de Cola,
almohadillaPunta,Almohadilla de punta,Verifique que la almohadilla de la punta gura libremente.,10,TS,TAIL STAND,Poste de Cola,
fod,FOD,"¿El equipo se encuentra libre de FOD y se asegura que NO existan objetos sospechosos y/o prohibidos ocultos en el interior y exterior del equipo (guanteras(si aplica),salpicaderas, cabina, debajo de asientos, motor etc.)?",11,TS,TAIL STAND,Poste de Cola,
estadoGeneral,Estado general,"¿Está bien el estado general, es decir, sin daños?",1,"PBT,PBT,TT",PUSHBACK - XXX,Pushback NB/WB,
advertenciasSeguridad,Advertencias de seguridad,¿Están todas las advertencias de seguridad presentes y legibles?,2,"PBT,PBT,TT",PUSHBACK - XXX,Pushback NB/WB,
calcomanias,Calcomanías,¿Las calcomanías especificadas actualmente están en buenas condiciones?,3,"PBT,PBT,TT",PUSHBACK - XXX,Pushback NB/WB,
calcomaniaAvion,Calcomanía de avión aplicable,¿Hay una calcomania colocada para el operador que muestre el tipo de avion aplicable a este pushback?,4,"PBT,PBT,TT",PUSHBACK - XXX,Pushback NB/WB,
parosEmergencia,Paros de emergencia,¿Los paros de emergencia están en buenas condiciones y funcionando?,5,"PBT,PBT,TT",PUSHBACK - XXX,Pushback NB/WB,
cinturonConductor,Cinturones de seguridad,¿Están colocados y funcionando los cinturones de seguridad?,6,"PBT,PBT,TT",PUSHBACK - XXX,Pushback NB/WB,
luces,Luces,¿Las luces están en buenas condiciones y funcionan [incluidas las luces de freno]?,7,"PBT,PBT,TT",PUSHBACK - XXX,Pushback NB/WB,
lucesAlarmaReversa,Luces y alarma de reversa,¿Funciona la luz y alarma de reversa?,8,"PBT,PBT,TT",PUSHBACK - XXX,Pushback NB/WB,
bocina,Bocina (pito),¿Funciona la bocina(pito)?,9,"PBT,PBT,TT",PUSHBACK - XXX,Pushback NB/WB,
frenos,Frenos,¿Están funcionando los frenos (incluido el freno de pedal/estacionamiento)?,10,"PBT,PBT,TT",PUSHBACK - XXX,Pushback NB/WB,
engancheRemolque,Enganches de remolque,¿Están los enganches de remolque/empuje en buenas condiciones y sin daños?,11,"PBT,PBT,TT",PUSHBACK - XXX,Pushback NB/WB,
indicadoresTuercas,Indicadores de tuercas,¿Hay indicadores de tuercas instalados para mostrar si alguna tuerca está floja?,12,"PBT,PBT,TT",PUSHBACK - XXX,Pushback NB/WB,
direccion,Dirección,¿Está funcionando correctamente la dirección?,13,"PBT,PBT,TT",PUSHBACK - XXX,Pushback NB/WB,
neumaticos,Neumáticos,"¿Están los neumáticos en buenas condiciones, por ejemplo, dibujo, paredes laterales, inflado, etc.?",14,"PBT,PBT,TT",PUSHBACK - XXX,Pushback NB/WB,
extintor,Extintor,"¿Hay un extintor, está dentro de la fecha de caducidad, está lleno y todos los sellos están en su lugar?",15,"PBT,PBT,TT",PUSHBACK - XXX,Pushback NB/WB,
limpiaLavaParabrisas,Limpiaparabrisas y lavaparabrisas,¿Funcionan los limpiaparabrisas y el lavaparabrisas?,16,"PBT,PBT,TT",PUSHBACK - XXX,Pushback NB/WB,
fugasDerramesFod,"Fugas, derrames y FOD","¿El equipo se encuentra libre de fugas, derrames visibles, FOD y se asegura que NO existan objetos sospechosos y/o prohibidos ocultos en el interior y exterior del equipo (guanteras(si aplica),salpicaderas, cabina, debajo de asientos, motor etc.)?",17,"PBT,PBT,TT",PUSHBACK - XXX,Pushback NB/WB,
estadoGeneral,Estado general,"¿Está bien el estado general, es decir, sin daños?",1,"HOQ,BP,HOD,HOR,HAD,TWP,TBP,A01,DL0,TB,TBR",TOW BAR,TOWBARS – Barra Remolque-Empuje,
advertenciasSeguridad,Advertencias de seguridad,¿Están todas las advertencias de seguridad presentes y legibles?,2,"HOQ,BP,HOD,HOR,HAD,TWP,TBP,A01,DL0,TB,TBR",TOW BAR,TOWBARS – Barra Remolque-Empuje,
calcomanias,Calcomanías,¿Las calcomanías especificadas actualmente están en buenas condiciones?,3,"HOQ,BP,HOD,HOR,HAD,TWP,TBP,A01,DL0,TB,TBR",TOW BAR,TOWBARS – Barra Remolque-Empuje,
tipoAvion,Tipo de avión en barra,¿Se muestra claramente el tipo de avión correcto en la barra?,4,"HOQ,BP,HOD,HOR,HAD,TWP,TBP,A01,DL0,TB,TBR",TOW BAR,TOWBARS – Barra Remolque-Empuje,
topesDescanso,Topes de descanso,¿El soporte de la barra de remolque (topes de descanso) está libre de daños y en buenas condiciones?,5,"HOQ,BP,HOD,HOR,HAD,TWP,TBP,A01,DL0,TB,TBR",TOW BAR,TOWBARS – Barra Remolque-Empuje,
pernosFusibles,Pernos fusibles,"¿Están los pernos fusibles en su lugar, giran libremente y tienen algún daño visible?",6,"HOQ,BP,HOD,HOR,HAD,TWP,TBP,A01,DL0,TB,TBR",TOW BAR,TOWBARS – Barra Remolque-Empuje,
pasadorBloqueoCadena,Pasador de bloqueo y cadena,¿Están el pasador de bloqueo y la cadena de seguridad en su lugar y en buenas condiciones?,7,"HOQ,BP,HOD,HOR,HAD,TWP,TBP,A01,DL0,TB,TBR",TOW BAR,TOWBARS – Barra Remolque-Empuje,
cabezalConexion,Cabezal de conexión,¿Está el cabezal de conexión de la barra de remolque en buenas condiciones y hay algún daño visible?,8,"HOQ,BP,HOD,HOR,HAD,TWP,TBP,A01,DL0,TB,TBR",TOW BAR,TOWBARS – Barra Remolque-Empuje,
tapasCojinetes,Tapas de cojinetes,¿Están en su lugar las tapas de los cojinetes de las ruedas?,9,"HOQ,BP,HOD,HOR,HAD,TWP,TBP,A01,DL0,TB,TBR",TOW BAR,TOWBARS – Barra Remolque-Empuje,
neumaticos,Neumáticos,"¿Están los neumáticos en buenas condiciones, por ejemplo, dibujo, paredes laterales, inflado, etc.?",10,"HOQ,BP,HOD,HOR,HAD,TWP,TBP,A01,DL0,TB,TBR",TOW BAR,TOWBARS – Barra Remolque-Empuje,
fod,FOD,"¿El equipo se encuentra libre de FOD y se asegura que NO existan objetos sospechosos y/o prohibidos ocultos en el interior y exterior del equipo (guanteras(si aplica),salpicaderas, cabina, debajo de asientos, motor etc.)?",11,"HOQ,BP,HOD,HOR,HAD,TWP,TBP,A01,DL0,TB,TBR",TOW BAR,TOWBARS – Barra Remolque-Empuje,
estadoGeneral,Estado general,"¿Está bien el estado general, es decir, sin daños?",1,"XQT,TTQ",TRACTOR - BAGGAGE,Tractor de Equipaje/Carga,
advertenciasSeguridad,Advertencias de seguridad,¿Están todas las advertencias de seguridad presentes y legibles?,2,"XQT,TTQ",TRACTOR - BAGGAGE,Tractor de Equipaje/Carga,
calcomanias,Calcomanías,¿Las calcomanías especificadas actualmente están en buenas condiciones?,3,"XQT,TTQ",TRACTOR - BAGGAGE,Tractor de Equipaje/Carga,
parosEmergencia,Paros de emergencia,¿Los paros de emergencia están en buenas condiciones y funcionando?,4,"XQT,TTQ",TRACTOR - BAGGAGE,Tractor de Equipaje/Carga,
cinturonConductor,Cinturones de seguridad,¿Están colocados y funcionando los cinturones de seguridad?,5,"XQT,TTQ",TRACTOR - BAGGAGE,Tractor de Equipaje/Carga,
bumpersTecho,Bumpers techo,¿Hay protección de caucho (bumpers) para aviones en las esquinas del techo?,6,"XQT,TTQ",TRACTOR - BAGGAGE,Tractor de Equipaje/Carga,
luces,Luces,¿Las luces están en buenas condiciones y funcionan [incluidas las luces de freno]?,7,"XQT,TTQ",TRACTOR - BAGGAGE,Tractor de Equipaje/Carga,
lucesAlarmaReversa,Luces y alarma de reversa,¿Funciona la luz y alarma de reversa?,8,"XQT,TTQ",TRACTOR - BAGGAGE,Tractor de Equipaje/Carga,
bocina,Bocina (pito),¿Funciona la bocina(pito)?,9,"XQT,TTQ",TRACTOR - BAGGAGE,Tractor de Equipaje/Carga,
controlesInternos,Controles internos,"¿Están los controles internos en buenas condiciones, p. ¿Interruptores, instrumentos, etc.?",10,"XQT,TTQ",TRACTOR - BAGGAGE,Tractor de Equipaje/Carga,
direccion,Dirección,¿Está funcionando correctamente la dirección?,11,"XQT,TTQ",TRACTOR - BAGGAGE,Tractor de Equipaje/Carga,
frenos,Frenos,¿Están funcionando los frenos (incluido el freno de pedal/estacionamiento)?,12,"XQT,TTQ",TRACTOR - BAGGAGE,Tractor de Equipaje/Carga,
neumaticos,Neumáticos,"¿Están los neumáticos en buenas condiciones, por ejemplo, dibujo, paredes laterales, inflado, etc.?",13,"XQT,TTQ",TRACTOR - BAGGAGE,Tractor de Equipaje/Carga,
limpiaLavaParabrisas,Limpiaparabrisas y lavaparabrisas,¿Funcionan los limpiaparabrisas y el lavaparabrisas?,14,"XQT,TTQ",TRACTOR - BAGGAGE,Tractor de Equipaje/Carga,
fugasDerramesFod,"Fugas, derrames y FOD","¿El equipo se encuentra libre de fugas, derrames visibles, FOD y se asegura que NO existan objetos sospechosos y/o prohibidos ocultos en el interior y exterior del equipo (guanteras(si aplica),salpicaderas, cabina, debajo de asientos, motor etc.)?",15,"XQT,TTQ",TRACTOR - BAGGAGE,Tractor de Equipaje/Carga,
estadoGeneral,Estado general,"¿Está bien el estado general, es decir, sin daños?",1,LST,TRUCK - LAVATORY,TSU – Camion Aguas Negras,
advertenciasSeguridad,Advertencias de seguridad,¿Están todas las advertencias de seguridad presentes y legibles?,2,LST,TRUCK - LAVATORY,TSU – Camion Aguas Negras,
calcomanias,Calcomanías,¿Las calcomanías especificadas actualmente están en buenas condiciones?,3,LST,TRUCK - LAVATORY,TSU – Camion Aguas Negras,
parosEmergencia,Paros de emergencia,¿Los paros de emergencia están en buenas condiciones y funcionando?,4,LST,TRUCK - LAVATORY,TSU – Camion Aguas Negras,
cinturonConductor,Cinturones de seguridad,¿Están colocados y funcionando los cinturones de seguridad?,5,LST,TRUCK - LAVATORY,TSU – Camion Aguas Negras,
luces,Luces,¿Las luces están en buenas condiciones y funcionan [incluidas las luces de freno]?,6,LST,TRUCK - LAVATORY,TSU – Camion Aguas Negras,
lucesAlarmaReversa,Luces y alarma de reversa,¿Funciona la luz y alarma de reversa?,7,LST,TRUCK - LAVATORY,TSU – Camion Aguas Negras,
bocina,Bocina (pito),¿Funciona la bocina(pito)?,8,LST,TRUCK - LAVATORY,TSU – Camion Aguas Negras,
frenos,Frenos,¿Están funcionando los frenos (incluido el freno de pedal/estacionamiento)?,9,LST,TRUCK - LAVATORY,TSU – Camion Aguas Negras,
direccion,Dirección,¿Está funcionando correctamente la dirección?,10,LST,TRUCK - LAVATORY,TSU – Camion Aguas Negras,
neumaticos,Neumáticos,"¿Están los neumáticos en buenas condiciones, por ejemplo, dibujo, paredes laterales, inflado, etc.?",11,LST,TRUCK - LAVATORY,TSU – Camion Aguas Negras,
limpiaLavaParabrisas,Limpiaparabrisas y lavaparabrisas,¿Los limpiaparabrisas y el lavaparabrisas funcionan [motorizados]?,12,LST,TRUCK - LAVATORY,TSU – Camion Aguas Negras,
extintor,Extintor,"¿Hay un extintor, está dentro de la fecha de caducidad, está lleno y todos los sellos están en su lugar?",13,LST,TRUCK - LAVATORY,TSU – Camion Aguas Negras,
mangueraBoquilla,Manguera y boquilla,¿Están la manguera y boquilla de eliminación de heces en condiciones de servicio?,14,LST,TRUCK - LAVATORY,TSU – Camion Aguas Negras,
fugasDerramesFod,"Fugas, derrames y FOD","¿El equipo se encuentra libre de fugas, derrames visibles, FOD y se asegura que NO existan objetos sospechosos y/o prohibidos ocultos en el interior y exterior del equipo (guanteras(si aplica),salpicaderas, cabina, debajo de asientos, motor etc.)?",15,LST,TRUCK - LAVATORY,TSU – Camion Aguas Negras,
estadoGeneral,Estado general,"¿Está bien el estado general, es decir, sin daños?",1,"VAN,PUT","VAN,CAR,TRUCK – PICK-UP,SUV",Van/Pick Up/Auto,
advertenciasSeguridad,Advertencias de seguridad,¿Están todas las advertencias de seguridad presentes y legibles?,2,"VAN,PUT","VAN,CAR,TRUCK – PICK-UP,SUV",Van/Pick Up/Auto,
calcomanias,Calcomanías,¿Las calcomanías especificadas actualmente están en buenas condiciones?,3,"VAN,PUT","VAN,CAR,TRUCK – PICK-UP,SUV",Van/Pick Up/Auto,
cinturonConductor,Cinturones de seguridad,¿Están colocados y funcionando los cinturones de seguridad?,4,"VAN,PUT","VAN,CAR,TRUCK – PICK-UP,SUV",Van/Pick Up/Auto,
torreta,Torreta,¿Funciona correctamente la torreta?,5,"VAN,PUT","VAN,CAR,TRUCK – PICK-UP,SUV",Van/Pick Up/Auto,
luces,Luces,¿Las luces están en buenas condiciones y funcionan [incluidas las luces de freno]?,6,"VAN,PUT","VAN,CAR,TRUCK – PICK-UP,SUV",Van/Pick Up/Auto,
lucesAlarmaReversa,Luces y alarma de reversa,¿Funciona la luz y alarma de reversa?,7,"VAN,PUT","VAN,CAR,TRUCK – PICK-UP,SUV",Van/Pick Up/Auto,
bocina,Bocina (pito),¿Funciona la bocina(pito)?,8,"VAN,PUT","VAN,CAR,TRUCK – PICK-UP,SUV",Van/Pick Up/Auto,
controlesInternos,Controles internos,"¿Están los controles internos en buenas condiciones, p. ¿Interruptores, instrumentos, etc.?",9,"VAN,PUT","VAN,CAR,TRUCK – PICK-UP,SUV",Van/Pick Up/Auto,
direccion,Dirección,¿Está funcionando correctamente la dirección?,10,"VAN,PUT","VAN,CAR,TRUCK – PICK-UP,SUV",Van/Pick Up/Auto,
frenos,Frenos,¿Están funcionando los frenos (incluido el freno de pedal/estacionamiento)?,11,"VAN,PUT","VAN,CAR,TRUCK – PICK-UP,SUV",Van/Pick Up/Auto,
extintor,Extintor,"¿Hay un extintor, está dentro de la fecha de caducidad, está lleno y todos los sellos están en su lugar?",12,"VAN,PUT","VAN,CAR,TRUCK – PICK-UP,SUV",Van/Pick Up/Auto,
neumaticos,Neumáticos,"¿Están los neumáticos en buenas condiciones, por ejemplo, dibujo, paredes laterales, inflado, etc.?",13,"VAN,PUT","VAN,CAR,TRUCK – PICK-UP,SUV",Van/Pick Up/Auto,
limpiaLavaParabrisas,Limpiaparabrisas y Lavaparabrisas,¿Funcionan los limpiaparabrisas y el lavaparabrisas?,14,"VAN,PUT","VAN,CAR,TRUCK – PICK-UP,SUV",Van/Pick Up/Auto,
fugasDerramesFod,"Fugas, derrames y FOD","¿El equipo se encuentra libre de fugas, derrames visibles, FOD y se asegura que NO existan objetos sospechosos y/o prohibidos ocultos en el interior y exterior del equipo (guanteras(si aplica),salpicaderas, cabina, debajo de asientos, motor etc.)?",15,"VAN,PUT","VAN,CAR,TRUCK – PICK-UP,SUV",Van/Pick Up/Auto,
